Date,Open,High,Low,Close,Adj Close,Volume
"Sep 11, 2023",6924.79,6963.40,6904.37,6963.40,6963.40,174103700.00
"Sep 8, 2023",6954.82,6966.78,6900.60,6924.79,6924.79,140402900.00
"Sep 7, 2023",6996.11,7003.68,6927.43,6954.82,6954.82,191159400.00
"Sep 6, 2023",6991.72,7020.98,6989.80,6995.96,6995.96,165422100.00
"Sep 5, 2023",6996.76,7014.49,6972.64,6991.72,6991.72,183173900.00
"Sep 4, 2023",6977.81,7007.81,6974.83,6996.76,6996.76,154577900.00
"Sep 1, 2023",6953.27,6992.64,6950.27,6977.66,6977.66,145790000.00
"Aug 31, 2023",6966.67,6982.36,6924.24,6953.27,6953.27,233127700.00
"Aug 30, 2023",6958.27,7008.50,6958.27,6966.67,6966.67,159326300.00
"Aug 29, 2023",6921.74,6964.74,6921.74,6957.84,6957.84,244345800.00
"Aug 28, 2023",6895.88,6940.13,6895.88,6921.74,6921.74,185488900.00
"Aug 25, 2023",6899.40,6906.09,6869.64,6895.45,6895.45,129994800.00
"Aug 24, 2023",6921.42,6937.66,6898.40,6899.40,6899.40,142846200.00
"Aug 23, 2023",6916.46,6959.44,6916.46,6921.42,6921.42,170674700.00
"Aug 22, 2023",6866.04,6927.46,6860.70,6916.46,6916.46,158573900.00
"Aug 21, 2023",6860.06,6890.29,6859.43,6866.04,6866.04,207708300.00
"Aug 18, 2023",6899.84,6899.84,6856.39,6859.92,6859.92,130737900.00
"Aug 16, 2023",6915.11,6915.11,6855.90,6900.55,6900.55,152291200.00
"Aug 15, 2023",6910.47,6928.64,6898.39,6915.11,6915.11,172760000.00
"Aug 14, 2023",6879.99,6910.18,6823.76,6910.18,6910.18,138804900.00
"Aug 11, 2023",6893.29,6906.66,6865.12,6879.99,6879.99,130736700.00
"Aug 10, 2023",6875.12,6910.76,6875.12,6893.29,6893.29,162734000.00
"Aug 9, 2023",6868.82,6901.07,6863.09,6875.12,6875.12,218491200.00
"Aug 8, 2023",6886.52,6915.06,6861.64,6868.82,6868.82,170357400.00
"Aug 7, 2023",6852.85,6904.37,6852.85,6886.38,6886.38,134540800.00
"Aug 4, 2023",6898.23,6925.02,6850.91,6852.85,6852.85,118791000.00
"Aug 3, 2023",6854.52,6924.06,6839.75,6898.09,6898.09,163613400.00
"Aug 2, 2023",6886.51,6886.51,6833.99,6854.52,6854.52,183858400.00
"Aug 1, 2023",6931.09,6934.40,6880.48,6886.51,6886.51,196062700.00
"Jul 31, 2023",6900.24,6931.37,6895.08,6931.37,6931.37,171457600.00
"Jul 28, 2023",6896.82,6904.11,6857.38,6900.24,6900.24,146686100.00
"Jul 27, 2023",6948.29,6966.18,6896.67,6896.67,6896.67,158624100.00
"Jul 26, 2023",6917.72,6955.99,6917.42,6948.29,6948.29,149683800.00
"Jul 25, 2023",6897.99,6944.63,6897.99,6917.72,6917.72,150504400.00
"Jul 24, 2023",6880.81,6929.69,6877.96,6899.41,6899.41,150084400.00
"Jul 21, 2023",6864.20,6880.81,6837.66,6880.81,6880.81,131640100.00
"Jul 20, 2023",6830.07,6874.90,6828.01,6864.20,6864.20,142032500.00
"Jul 18, 2023",6867.15,6902.15,6798.44,6830.21,6830.21,150363000.00
"Jul 17, 2023",6869.72,6931.28,6867.15,6867.15,6867.15,176805700.00
"Jul 14, 2023",6810.22,6874.79,6810.22,6869.58,6869.58,160702800.00
"Jul 13, 2023",6808.36,6835.75,6783.75,6810.22,6810.22,171443900.00
"Jul 12, 2023",6796.93,6820.19,6785.87,6808.22,6808.22,161722800.00
"Jul 11, 2023",6731.19,6796.93,6730.64,6796.93,6796.93,160428000.00
"Jul 10, 2023",6716.47,6763.56,6716.47,6731.05,6731.05,123617000.00
"Jul 7, 2023",6757.06,6757.06,6711.23,6716.47,6716.47,158332900.00
"Jul 6, 2023",6718.27,6766.28,6712.08,6757.34,6757.34,179543000.00
"Jul 5, 2023",6681.76,6719.07,6676.94,6718.99,6718.99,148911000.00
"Jul 4, 2023",6696.87,6713.10,6672.78,6681.76,6681.76,146273000.00
"Jul 3, 2023",6661.75,6696.73,6660.83,6696.73,6696.73,125551000.00
"Jun 27, 2023",6664.68,6679.64,6652.91,6661.89,6661.89,142328900.00
"Jun 26, 2023",6639.74,6674.07,6622.19,6664.68,6664.68,126037100.00
"Jun 23, 2023",6652.27,6665.67,6635.49,6639.74,6639.74,113447100.00
"Jun 22, 2023",6702.78,6717.99,6652.27,6652.27,6652.27,168533600.00
"Jun 21, 2023",6660.47,6702.64,6635.68,6702.64,6702.64,120273100.00
"Jun 20, 2023",6686.07,6692.45,6626.16,6660.47,6660.47,118276600.00
"Jun 19, 2023",6698.56,6705.05,6669.06,6686.07,6686.07,161424500.00
"Jun 16, 2023",6713.53,6726.47,6669.35,6698.56,6698.56,172061800.00
"Jun 15, 2023",6699.73,6717.47,6660.92,6713.80,6713.80,151187300.00
"Jun 14, 2023",6718.88,6744.65,6672.87,6699.73,6699.73,178279800.00
"Jun 13, 2023",6722.38,6744.05,6697.08,6719.02,6719.02,176568000.00
"Jun 12, 2023",6694.59,6722.38,6670.53,6722.38,6722.38,158712000.00
"Jun 9, 2023",6666.06,6703.83,6648.97,6694.03,6694.03,182769600.00
"Jun 8, 2023",6619.76,6666.34,6598.43,6666.34,6666.34,168616600.00
"Jun 7, 2023",6619.07,6638.59,6578.77,6619.76,6619.76,162881000.00
"Jun 6, 2023",6633.45,6677.58,6602.01,6618.93,6618.93,231838500.00
"Jun 5, 2023",6633.27,6663.72,6598.52,6633.45,6633.45,152714500.00
"May 31, 2023",6636.43,6657.66,6562.97,6633.27,6633.27,615071900.00
"May 30, 2023",6681.11,6700.25,6636.43,6636.43,6636.43,173775000.00
"May 29, 2023",6687.29,6708.38,6617.25,6681.11,6681.11,164801800.00
"May 26, 2023",6704.24,6727.30,6669.25,6687.01,6687.01,181504900.00
"May 25, 2023",6745.81,6749.72,6702.54,6704.24,6704.24,156986800.00
"May 24, 2023",6736.69,6755.89,6713.90,6745.81,6745.81,137679300.00
"May 23, 2023",6729.66,6772.66,6727.08,6736.69,6736.69,162216500.00
"May 22, 2023",6700.57,6757.63,6675.89,6729.66,6729.66,167491100.00
"May 19, 2023",6663.12,6715.04,6662.76,6700.57,6700.57,161565100.00
"May 17, 2023",6676.43,6706.61,6661.48,6663.12,6663.12,180449300.00
"May 16, 2023",6711.75,6729.08,6659.08,6676.57,6676.57,156372400.00
"May 15, 2023",6708.47,6729.31,6656.66,6711.75,6711.75,142578400.00
"May 12, 2023",6755.95,6755.95,6704.58,6707.77,6707.77,173779500.00
"May 11, 2023",6811.91,6814.13,6717.43,6755.95,6755.95,162906200.00
"May 10, 2023",6780.41,6820.13,6775.20,6811.91,6811.91,181480200.00
"May 9, 2023",6769.64,6793.78,6742.19,6779.99,6779.99,172097200.00
"May 8, 2023",6787.50,6798.33,6756.67,6769.64,6769.64,179625500.00
"May 5, 2023",6844.04,6851.60,6733.79,6787.64,6787.64,148189400.00
"May 4, 2023",6812.73,6846.13,6780.10,6844.04,6844.04,137517900.00
"May 3, 2023",6863.31,6865.62,6776.91,6812.73,6812.73,121306900.00
"May 2, 2023",6915.73,6920.35,6814.35,6863.31,6863.31,136480100.00
"Apr 28, 2023",6945.49,6958.68,6897.72,6915.73,6915.73,130620700.00
"Apr 27, 2023",6910.86,6971.92,6877.66,6945.49,6945.49,161595900.00
"Apr 26, 2023",6821.82,6910.16,6821.61,6910.16,6910.16,120164300.00
"Apr 18, 2023",6787.59,6839.77,6784.18,6821.82,6821.82,103660800.00
"Apr 17, 2023",6818.72,6829.52,6765.15,6787.59,6787.59,94860100.00
"Apr 14, 2023",6785.89,6838.08,6785.71,6818.58,6818.58,137035000.00
"Apr 13, 2023",6798.55,6816.89,6764.67,6785.61,6785.61,161495800.00
"Apr 12, 2023",6811.47,6833.75,6775.29,6798.97,6798.97,151427200.00
"Apr 11, 2023",6771.24,6811.32,6738.78,6811.32,6811.32,161404500.00
"Apr 10, 2023",6792.78,6799.50,6735.20,6771.24,6771.24,129368500.00
"Apr 6, 2023",6819.68,6832.74,6786.30,6792.78,6792.78,172852900.00
"Apr 5, 2023",6833.19,6867.35,6816.44,6819.68,6819.68,123965500.00
"Apr 4, 2023",6827.04,6859.70,6781.53,6833.19,6833.19,131576400.00
"Apr 3, 2023",6805.29,6849.37,6805.14,6827.18,6827.18,127453100.00
"Mar 31, 2023",6809.10,6831.56,6789.62,6805.29,6805.29,139015200.00
"Mar 30, 2023",6839.45,6868.64,6803.10,6808.96,6808.96,140466800.00
"Mar 29, 2023",6760.34,6851.52,6760.34,6839.45,6839.45,143324900.00
"Mar 28, 2023",6708.94,6764.66,6708.94,6760.34,6760.34,126113300.00
"Mar 27, 2023",6762.26,6772.61,6704.76,6708.94,6708.94,135182600.00
"Mar 24, 2023",6694.03,6776.91,6692.18,6762.26,6762.26,146575100.00
"Mar 21, 2023",6612.50,6691.62,6609.23,6691.62,6691.62,145475100.00
"Mar 20, 2023",6678.25,6678.25,6587.70,6612.50,6612.50,128905000.00
"Mar 17, 2023",6565.74,6683.10,6565.74,6678.25,6678.25,455755600.00
"Mar 16, 2023",6628.15,6630.78,6542.80,6565.74,6565.74,154420700.00
"Mar 15, 2023",6641.82,6709.87,6628.15,6628.15,6628.15,139210500.00
"Mar 14, 2023",6786.68,6786.68,6635.39,6641.82,6641.82,166605500.00
"Mar 13, 2023",6765.03,6812.88,6727.45,6786.97,6786.97,141798000.00
"Mar 10, 2023",6799.80,6799.80,6741.42,6765.31,6765.31,131746200.00
"Mar 9, 2023",6776.38,6824.67,6776.38,6799.80,6799.80,113187000.00
"Mar 8, 2023",6766.77,6776.38,6728.20,6776.38,6776.38,144130900.00
"Mar 7, 2023",6806.87,6812.97,6758.01,6766.77,6766.77,140398600.00
"Mar 6, 2023",6813.93,6856.58,6801.20,6807.01,6807.01,137055800.00
"Mar 3, 2023",6857.43,6884.13,6804.49,6813.65,6813.65,118736600.00
"Mar 2, 2023",6845.09,6875.11,6841.87,6857.43,6857.43,136086000.00
"Mar 1, 2023",6843.11,6889.52,6833.20,6844.95,6844.95,146293200.00
"Feb 28, 2023",6854.79,6890.36,6843.25,6843.25,6843.25,167931100.00
"Feb 27, 2023",6856.59,6871.12,6819.88,6854.79,6854.79,127631500.00
"Feb 24, 2023",6839.46,6880.32,6839.46,6856.59,6856.59,130300200.00
"Feb 23, 2023",6810.12,6839.46,6807.01,6839.46,6839.46,124488600.00
"Feb 22, 2023",6873.27,6875.40,6781.24,6809.98,6809.98,149215500.00
"Feb 21, 2023",6894.73,6923.68,6870.92,6873.41,6873.41,144215700.00
"Feb 20, 2023",6895.87,6910.51,6863.68,6894.73,6894.73,175859700.00
"Feb 17, 2023",6895.67,6919.10,6868.29,6895.72,6895.72,180098400.00
"Feb 16, 2023",6914.55,6933.29,6875.31,6895.67,6895.67,173648600.00
"Feb 15, 2023",6941.86,6946.04,6872.88,6914.55,6914.55,148477900.00
"Feb 14, 2023",6900.15,6941.86,6900.15,6941.86,6941.86,162808100.00
"Feb 13, 2023",6880.34,6915.15,6871.89,6900.15,6900.15,213914100.00
"Feb 10, 2023",6895.25,6895.25,6803.43,6880.34,6880.34,140803700.00
"Feb 9, 2023",6940.13,6961.16,6896.05,6897.38,6897.38,176681300.00
"Feb 8, 2023",6935.31,6961.93,6912.12,6940.13,6940.13,172668200.00
"Feb 7, 2023",6873.80,6946.24,6873.80,6935.31,6935.31,173101600.00
"Feb 6, 2023",6911.74,6924.89,6835.77,6873.80,6873.80,143480000.00
"Feb 3, 2023",6890.72,6951.98,6890.72,6911.74,6911.74,202858400.00
"Feb 2, 2023",6862.27,6896.74,6855.38,6890.58,6890.58,189189500.00
"Feb 1, 2023",6838.93,6893.19,6838.93,6862.27,6862.27,145899200.00
"Jan 31, 2023",6872.53,6880.97,6827.25,6839.35,6839.35,151785000.00
"Jan 30, 2023",6899.03,6925.48,6834.09,6872.49,6872.49,134698100.00
"Jan 27, 2023",6864.83,6932.72,6864.83,6898.99,6898.99,149187500.00
"Jan 26, 2023",6829.98,6874.88,6815.80,6864.83,6864.83,171067600.00
"Jan 25, 2023",6860.86,6871.37,6821.29,6829.94,6829.94,187905300.00
"Jan 24, 2023",6874.94,6906.80,6841.02,6860.86,6860.86,196805400.00
"Jan 20, 2023",6819.92,6874.94,6819.54,6874.94,6874.94,173846000.00
